variable,effect,term,beta,se,CI_lower,CI_upper,p,n,group,p_fdr,p_bonf
Amygdala_02,main_predictor,Amygdala_02_c,-1.955398043,3.228037975,-8.282236215,4.371440129,0.546456934,92,brain,,
Amygdala_02,interaction,timepost,-28.84782609,3.399074823,-35.50989032,-22.18576185,5.72221E-11,92,brain,1.40232E-10,2.17444E-09
Amygdala_02,interaction,Amygdala_02_c:timepost,2.813957157,3.41770003,-3.884611812,9.512526126,0.414558307,92,brain,0.603760913,1
Caudata_02,main_predictor,Caudata_02_c,-0.755687719,3.186585871,-7.00128126,5.489905822,0.813165182,92,brain,,
Caudata_02,interaction,timepost,-28.84782609,3.400573918,-35.51282849,-22.18282368,5.79439E-11,92,brain,1.40232E-10,2.20187E-09
Caudata_02,interaction,Caudata_02_c:timepost,2.728426203,3.419207339,-3.973097038,9.429949444,0.428988017,92,brain,0.603760913,1
Cingulate_Ant_02,main_predictor,Cingulate_Ant_02_c,-1.28975264,3.216675287,-7.594320353,5.014815072,0.689551161,92,brain,,
Cingulate_Ant_02,interaction,timepost,-28.84782609,3.419337171,-35.54960379,-22.14604838,6.77329E-11,92,brain,1.40232E-10,2.57385E-09
Cingulate_Ant_02,interaction,Cingulate_Ant_02_c:timepost,1.222003911,3.438073405,-5.516496139,7.960503961,0.723890128,92,brain,0.825156498,1
Cingulate_Post_02,main_predictor,Cingulate_Post_02_c,-5.122090496,3.185682384,-11.36591323,1.121732242,0.111932088,92,brain,,
Cingulate_Post_02,interaction,timepost,-28.84782609,3.37850875,-35.46958156,-22.22607062,4.81329E-11,92,brain,1.40232E-10,1.82905E-09
Cingulate_Post_02,interaction,Cingulate_Post_02_c:timepost,3.794822213,3.397021265,-2.863217121,10.45286155,0.269751261,92,brain,0.465933996,1
Frontal_Mid_02,main_predictor,Frontal_Mid_02_c,-1.204131404,3.22623667,-7.527439084,5.119176276,0.709995012,92,brain,,
Frontal_Mid_02,interaction,timepost,-28.84782609,3.420238355,-35.55137008,-22.14428209,6.82401E-11,92,brain,1.40232E-10,2.59312E-09
Frontal_Mid_02,interaction,Frontal_Mid_02_c:timepost,1.098474671,3.438979528,-5.641801347,7.838750689,0.750855109,92,brain,0.825156498,1
Frontal_Sup_02,main_predictor,Frontal_Sup_02_c,-1.976736064,3.216532443,-8.281023806,4.327551679,0.540642951,92,brain,,
Frontal_Sup_02,interaction,timepost,-28.84782609,3.421292664,-35.55343649,-22.14221568,6.88379E-11,92,brain,1.40232E-10,2.61584E-09
Frontal_Sup_02,interaction,Frontal_Sup_02_c:timepost,0.933380055,3.440039614,-5.808973693,7.675733804,0.787352505,92,brain,0.825156498,1
Frontal_Sup_Medial_02,main_predictor,Frontal_Sup_Medial_02_c,-1.862152561,3.21513404,-8.163699485,4.439394364,0.564142092,92,brain,,
Frontal_Sup_Medial_02,interaction,timepost,-28.84782609,3.413842209,-35.53883387,-22.15681831,6.47164E-11,92,brain,1.40232E-10,2.45922E-09
Frontal_Sup_Medial_02,interaction,Frontal_Sup_Medial_02_c:timepost,1.799856877,3.432548334,-4.927814232,8.527527987,0.602552826,92,brain,0.817750264,1
Hypothalamus_02,main_predictor,Hypothalamus_02_c,-2.990958502,3.154988114,-9.174621576,3.192704573,0.346016706,92,brain,,
Hypothalamus_02,interaction,timepost,-28.84782609,3.419482441,-35.54988852,-22.14576366,6.78144E-11,92,brain,1.40232E-10,2.57695E-09
Hypothalamus_02,interaction,Hypothalamus_02_c:timepost,1.202951258,3.438219471,-5.535835076,7.941737592,0.728028482,92,brain,0.825156498,1
Insula_02,main_predictor,Insula_02_c,-2.270815637,3.357282686,-8.850968787,4.309337514,0.500874094,92,brain,,
Insula_02,interaction,timepost,-28.84782609,3.423518594,-35.55779923,-22.13785294,7.01162E-11,92,brain,1.40232E-10,2.66442E-09
Insula_02,interaction,Insula_02_c:timepost,0.403283051,3.442277741,-6.343457345,7.150023448,0.907246572,92,brain,0.907246572,1
LC_02,main_predictor,LC_02_c,-5.955972514,3.208358893,-12.24424039,0.332295365,0.067215349,92,brain,,
LC_02,interaction,timepost,-28.84782609,3.380931866,-35.47433078,-22.2213214,4.91286E-11,92,brain,1.40232E-10,1.86689E-09
LC_02,interaction,LC_02_c:timepost,3.693097151,3.399457659,-2.969717427,10.35591173,0.282971865,92,brain,0.467518734,1
N_Acc_02,main_predictor,N_Acc_02_c,1.51417262,3.157255182,-4.673933827,7.702279068,0.632848188,92,brain,,
N_Acc_02,interaction,timepost,-28.84782609,3.421305368,-35.55346139,-22.14219078,6.88451E-11,92,brain,1.40232E-10,2.61611E-09
N_Acc_02,interaction,N_Acc_02_c:timepost,0.931211878,3.440052388,-5.811166906,7.673590663,0.787835031,92,brain,0.825156498,1
OFCmed_02,main_predictor,OFCmed_02_c,-1.07592267,3.18758815,-7.323480642,5.171635303,0.736616322,92,brain,,
OFCmed_02,interaction,timepost,-28.84782609,3.421699319,-35.55423352,-22.14141865,6.90698E-11,92,brain,1.40232E-10,2.62465E-09
OFCmed_02,interaction,OFCmed_02_c:timepost,-0.861269845,3.440448497,-7.60442499,5.881885301,0.803441854,92,brain,0.825156498,1
Pallidum_02,main_predictor,Pallidum_02_c,1.112906163,3.17267007,-5.105412909,7.331225235,0.726692457,92,brain,,
Pallidum_02,interaction,timepost,-28.84782609,3.419572931,-35.55006587,-22.1455863,6.78653E-11,92,brain,1.40232E-10,2.57888E-09
Pallidum_02,interaction,Pallidum_02_c:timepost,-1.190928455,3.438310458,-7.92989312,5.548036209,0.73064387,92,brain,0.825156498,1
Precuneus_02,main_predictor,Precuneus_02_c,-6.973815164,3.090931268,-13.03192913,-0.9157012,0.026805386,92,brain,,
Precuneus_02,interaction,timepost,-28.84782609,3.374824107,-35.46235979,-22.23329238,4.6655E-11,92,brain,1.40232E-10,1.77289E-09
Precuneus_02,interaction,Precuneus_02_c:timepost,3.9443504,3.393316432,-2.706427596,10.5951284,0.251073177,92,brain,0.454322891,1
Putamen_02,main_predictor,Putamen_02_c,0.097697588,3.172712812,-6.120705257,6.316100434,0.975512657,92,brain,,
Putamen_02,interaction,timepost,-28.84782609,3.417258078,-35.54552885,-22.15012333,6.65764E-11,92,brain,1.40232E-10,2.5299E-09
Putamen_02,interaction,Putamen_02_c:timepost,1.46775975,3.43598292,-5.266643025,8.202162524,0.671246124,92,brain,0.825156498,1
Raphe_D_02,main_predictor,Raphe_D_02_c,-2.509823664,3.171831378,-8.726498929,3.706851602,0.43115723,92,brain,,
Raphe_D_02,interaction,timepost,-28.84782609,3.421121651,-35.55310131,-22.14255086,6.87406E-11,92,brain,1.40232E-10,2.61214E-09
Raphe_D_02,interaction,Raphe_D_02_c:timepost,0.962089538,3.439867664,-5.779927194,7.704106271,0.780970743,92,brain,0.825156498,1
Raphe_M_02,main_predictor,Raphe_M_02_c,-5.756733996,3.228541253,-12.08455857,0.571090582,0.078517167,92,brain,,
Raphe_M_02,interaction,timepost,-28.84782609,3.391664991,-35.49536732,-22.20028486,5.37761E-11,92,brain,1.40232E-10,2.04349E-09
Raphe_M_02,interaction,Raphe_M_02_c:timepost,3.202878324,3.410249596,-3.481088063,9.886844711,0.352537985,92,brain,0.535857737,1
Thalamus_02,main_predictor,Thalamus_02_c,-4.194372742,3.205804149,-10.47763341,2.088887931,0.194623668,92,brain,,
Thalamus_02,interaction,timepost,-28.84782609,3.387856623,-35.48790305,-22.20774912,5.20818E-11,92,brain,1.40232E-10,1.97911E-09
Thalamus_02,interaction,Thalamus_02_c:timepost,3.385136782,3.40642036,-3.291324439,10.061598,0.325542528,92,brain,0.515442336,1
VTA_02,main_predictor,VTA_02_c,-2.963339808,3.220306184,-9.275023949,3.348344332,0.360352108,92,brain,,
VTA_02,interaction,timepost,-28.84782609,3.367964345,-35.4489149,-22.24673727,4.40165E-11,92,brain,1.40232E-10,1.67263E-09
VTA_02,interaction,VTA_02_c:timepost,4.208201496,3.386419082,-2.429057942,10.84546093,0.220286907,92,brain,0.418545123,1
